eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.01,0.08711611516856721,10701,1629.964131496399,0.002560638,1405,362,100,nan,nan,nan,nan,0.07955350364268228,0.006363479957490333,0.001199131568394603,nan,nan,nan,nan,0.0128752949089546,0.00676064995560484,0.001116413788696164,nan,nan,nan,nan
0.01,0.09713602761477744,12541,2573.2207999224,0.00269252,2429,464,100,nan,nan,nan,nan,0.08716736092692146,0.01400179498488084,-0.004033128297024867,nan,nan,nan,nan,0.01455682401268181,0.007316829818521854,0.001762479999946849,nan,nan,nan,nan
0.01,0.08728315917574239,11730,2641.609261232755,0.002621483,1690,455,100,nan,nan,nan,nan,0.08764421547936442,0.009704376284743733,-0.01006543258836576,nan,nan,nan,nan,0.01456358444500287,0.006986715532914722,0.001809321411803257,nan,nan,nan,nan
0.05,0.06646737278850451,7300,96.33526235963895,0.00199445,100,100,100,nan,nan,nan,nan,0.06662652356098675,-0.0006926146106122186,0.0005334638381299731,nan,nan,nan,nan,0.008792831887991664,0.008114929757401681,0.00164957641026779,nan,nan,nan,nan
0.05,0.08407069020198275,7300,115.6785408893624,0.001909746,100,100,100,nan,nan,nan,nan,0.0725054611355043,0.01756537772055134,-0.006000148654072886,nan,nan,nan,nan,0.007760595568207188,0.006902939524707188,0.001980796933037027,nan,nan,nan,nan
0.05,0.08411675376353434,7300,121.3029277964266,0.002029744,100,100,100,nan,nan,nan,nan,0.08516512221992718,0.003237773828980695,-0.00428614228537353,nan,nan,nan,nan,0.01739676378110718,0.006935087110362645,0.002077104928021003,nan,nan,nan,nan
0.05,0.1044069428686619,7300,75.11490181872551,0.001978793,100,100,100,nan,nan,nan,nan,0.09895108634633148,0.00695077687777531,-0.001494920355444949,nan,nan,nan,nan,0.02435133669994686,0.005739619657941656,0.001286214072238451,nan,nan,nan,nan
0.05,0.1083808529707984,7300,116.179307211285,0.001994748,100,100,100,nan,nan,nan,nan,0.08257716450760511,0.02267823376034839,0.003125454702844902,nan,nan,nan,nan,0.009672540002114365,0.006173645174769255,0.001989371698823374,nan,nan,nan,nan
0.05,0.09300412000847939,7300,77.10283945387714,0.001961939,100,100,100,nan,nan,nan,nan,0.07981261995043967,0.01398785141183566,-0.0007963513537959338,nan,nan,nan,nan,0.01320647090000238,0.006617850201003452,0.001320254100237623,nan,nan,nan,nan
0.05,0.09944290959199752,7300,104.7905346738991,0.00189846,100,100,100,nan,nan,nan,nan,0.0912257129328756,0.009568609359839836,-0.001351412700717916,nan,nan,nan,nan,0.01336965850910379,0.006379144254841086,0.001794358470443478,nan,nan,nan,nan
0.05,0.1099886404347721,7300,111.3549320224867,0.00192578,100,100,100,nan,nan,nan,nan,0.1076476029533789,0.006122395337147305,-0.003781357855754135,nan,nan,nan,nan,0.02390834471831897,0.006306637987239264,0.001906762534631622,nan,nan,nan,nan
0.05,0.105947413846835,7300,67.74392203016892,0.001858881,100,100,100,nan,nan,nan,nan,0.07532076148981776,0.03275835710646027,-0.002131704749443047,nan,nan,nan,nan,0.009992820578078279,0.004087251765851792,0.001159998664900153,nan,nan,nan,nan
0.05,0.08631475029190543,7300,78.27208620072994,0.001858054,100,100,100,nan,nan,nan,nan,0.0766400801893069,0.01160352649663488,-0.001928856394036346,nan,nan,nan,nan,0.01070404476750965,0.007823779671446037,0.001340275448642636,nan,nan,nan,nan
