eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4
0.005,0.4948608320188541,2673901,430304.1959170401,4.081805573,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.128912489,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.053181532,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.053877403,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.07340073,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.058430674,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.079581354,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.056107125,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.141705989,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
0.005,0.4948608320188541,2673901,430304.1959170401,4.074497927,374005,72079,11190,1967,nan,0.5735799954896651,-0.05732684229974802,-0.016438682446781,-0.00495363872428202,nan,0.6531167581468516,0.1943890966187015,0.03751795794330631,0.009194534100791454,nan
