eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.01,0.08407353950293922,10622,2176.482988938229,0.001292467,1438,348,100,nan,nan,nan,nan,0.07890061822799037,0.009128753474621824,-0.003955832199672967,nan,nan,nan,nan,0.01204630481664958,0.005910560648626971,0.001490741773245362,nan,nan,nan,nan
0.01,0.08492958181586624,11251,2769.851156695508,0.00133825,1699,394,100,nan,nan,nan,nan,0.08619926959074914,0.0030354964721142,-0.00430518424699709,nan,nan,nan,nan,0.01490458805540635,0.006199704024452479,0.001897158326503773,nan,nan,nan,nan
0.01,0.07691044579777319,11381,2771.802373118023,0.001349121,1629,419,100,nan,nan,nan,nan,0.07936494257265633,0.004114821646227097,-0.006569318421110233,nan,nan,nan,nan,0.01239119115155121,0.006859856423882717,0.001898494776108235,nan,nan,nan,nan
0.01,0.08546735477052581,11398,2097.908310958119,0.001355361,1654,418,100,nan,nan,nan,nan,0.0821196186039559,0.004305613516005066,-0.0009578773494351668,nan,nan,nan,nan,0.01513784341472009,0.00716541223628537,0.001436923500656246,nan,nan,nan,nan
0.01,0.0952634124460435,12256,2338.854790803919,0.001444911,1792,508,100,nan,nan,nan,nan,0.08392848066805457,0.01027220204352633,0.0010627297344626,nan,nan,nan,nan,0.01490397812788764,0.008907824765518041,0.001601955336167068,nan,nan,nan,nan
0.01,0.09267546325280149,10712,1918.891526635117,0.001288335,1456,357,100,nan,nan,nan,nan,0.08274973038455169,0.008942139276843323,0.0009835935914064681,nan,nan,nan,nan,0.01335737362117265,0.006245436726689205,0.001314309264818574,nan,nan,nan,nan
0.01,0.08624693321214222,12169,2716.857172869413,0.00147958,2073,462,100,nan,nan,nan,nan,0.08045478455286763,0.008347746858310369,-0.002555598199035778,nan,nan,nan,nan,0.01375508009298907,0.006494672063885357,0.001860861077307817,nan,nan,nan,nan
0.01,0.1020285377320882,10988,2646.072842463776,0.001335306,1668,365,100,nan,nan,nan,nan,0.08223845945747024,0.01751443097018993,0.002275647304428047,nan,nan,nan,nan,0.01427526570824517,0.005804394087133101,0.001812378659221765,nan,nan,nan,nan
0.01,0.09033905897452361,11844,2459.185822921715,0.001409909,1580,483,100,nan,nan,nan,nan,0.08100042731548167,0.009087925949016525,0.0002507057100254227,nan,nan,nan,nan,0.01202034407575536,0.008757172589791798,0.001684373851316243,nan,nan,nan,nan
0.01,0.108572044361576,11910,2986.15111728606,0.001397831,1806,463,100,nan,nan,nan,nan,0.08759656898475364,0.01990117836507945,0.001074297011742946,nan,nan,nan,nan,0.01490994095912905,0.006960683688334627,0.002045308984442507,nan,nan,nan,nan
