Pf,Pc
1.419209947061538836e-02,1.228785340397913275e-02
3.217248902987697012e-03,1.896144109489904337e-03
1.160499758440234827e-02,1.083351750975202615e-02
2.632378422429293777e-02,2.338264431747525199e-02
1.486483906123228782e-02,1.218714978787253933e-02
6.666357720371715589e-02,6.793566548808893657e-02
1.848771792199365438e-01,1.927935224264028802e-01
6.356325593760631283e-03,8.829656436904816108e-03
1.074809774814711660e-03,1.328882234118742385e-03
7.579878405444265797e-03,6.105650245687222963e-03
1.827472649114514625e-01,1.799650994254478886e-01
1.827103191305764366e-06,4.897345442000849221e-05
5.526265706050901595e-03,6.112432824394388800e-03
6.878032851225996010e-03,7.719471272621662543e-03
1.852854905926982210e-01,1.850661053264303912e-01
1.918666080255534978e-02,1.906933203206269065e-02
7.700310578680169028e-03,8.048053885410499583e-03
2.035582482575751945e-02,1.843554329627093702e-02
7.015670573033633284e-02,7.156932698200305087e-02
3.369813244175461249e-03,3.317480776030803675e-03
8.097438352898456149e-02,9.480364991105295902e-02
1.118884401808735614e-02,1.426684954712831299e-02
1.370878203485812463e-01,1.438078641015444747e-01
6.987764327076648185e-02,7.041461019027112078e-02
6.673455828554816782e-02,7.494836858960844672e-02
7.173032727600815728e-02,7.454271222286146248e-02
3.248698232021694082e-02,3.566941078870555087e-02
1.622340709063959524e-02,1.354683615302918441e-02
2.142494958061686994e-01,2.161957121064754517e-01
2.040535984823905469e-01,2.038084233829696723e-01
1.718008172467219985e-01,1.751725245743404880e-01
1.714848429701751678e-02,1.759305688472388371e-02
1.170369358334613225e-01,1.194524071519764280e-01
1.301466363883151400e-01,1.381891290920947979e-01
1.937040931029298529e-01,1.740829124393300786e-01
1.052671630102985229e-02,1.067224994688545196e-02
8.555763569551197141e-06,2.750664250983566065e-04
4.940064348848042380e-02,5.161453722511558789e-02
5.846431513196480127e-03,4.263703638771364560e-03
3.157930438146740459e-01,3.142432525302225610e-01
2.318117056082090108e-02,2.370013334637148528e-02
2.113913060560566187e-02,1.853990963175701848e-02
4.375484203094148067e-02,5.124884295457116795e-02
3.455425249085719575e-02,3.560620887106727417e-02
5.189991488569887373e-02,5.619684211744761793e-02
3.790489016085239228e-03,4.594456526195553510e-03
7.542769409205889175e-02,7.823688550855087409e-02
3.621004031533932299e-02,3.150636967030699676e-02
5.701473930292588754e-01,6.033589734511061176e-01
6.024392634212190345e-02,5.567380539928345334e-02
1.455528518122047033e-01,1.481918693531549813e-01
3.429576808961540962e-02,4.488130390298145783e-02
1.507849095191045319e-02,1.576978634808797602e-02
1.970695583045713184e-01,1.834979946388437533e-01
9.197178208204349946e-05,7.797602684176163689e-04
5.381263136322462630e-05,1.542079281456247244e-05
1.140559538564327549e-04,2.507923824357596084e-04
1.133960451580157645e-02,1.077553756095334971e-02
1.504931368042168593e-01,1.459698876870606232e-01
1.082555907151253327e-01,1.115441767985517613e-01
9.065842443927375760e-02,9.314793473969322501e-02
1.179369746997741969e-01,1.145617963478949147e-01
5.926957443389113678e-03,7.167502891524768147e-03
4.198133376840877673e-02,3.651971407006545517e-02
8.596097756501634712e-02,8.484550988022497575e-02
1.705110526158710171e-01,1.805636816841486303e-01
7.836329802952138324e-02,7.286938634521221425e-02
1.005802668211054074e-01,1.056890300531065224e-01
4.162144316333786787e-01,3.996478478274072543e-01
1.643248782419537771e-02,2.125210186829222872e-02
7.833193507444808842e-03,7.368648996271388515e-03
1.892668428210782516e-01,1.829095543135577651e-01
4.168388728919870112e-01,4.190841562807866016e-01
2.371812661752870921e-01,2.347876172233359093e-01
2.546913896527385127e-05,4.056551800791992650e-04
