Pf,Pc
2.492137869861084376e-01,2.612949792664487347e-01
1.363908495453862169e-01,1.328556973879287673e-01
5.134545399304561719e-02,5.323017205637983751e-02
1.006037989878413516e-02,1.128723925773864739e-02
1.156242309796763762e-01,1.095333224443098830e-01
1.647108204918074428e-02,1.772419095898179059e-02
8.162115401146348426e-02,8.453752262067894263e-02
5.703770228854915247e-02,6.423496855726294752e-02
1.608073764392412008e-01,1.517269746513978113e-01
1.029246483571541471e-02,9.684785921855430108e-03
5.022360313022494749e-02,3.939913564362878401e-02
1.285739451763844299e-01,1.251741285895539013e-01
7.913316967219410350e-04,3.625228481709406501e-04
5.766159870275391897e-02,6.386135828240013801e-02
1.425471240068271021e-02,1.614190241592819777e-02
3.541050561858531936e-03,3.591770344551976674e-04
5.134543327989692096e-02,3.934931977883012605e-02
2.410271488102730050e-02,2.632599505617169017e-02
9.176329174828155855e-03,7.542120561981151099e-03
2.009474512194523999e-01,1.649719923857196069e-01
4.201330471092949992e-01,3.877166396324890352e-01
5.179743327933989533e-03,5.631177412038270054e-03
2.658815412408350228e-03,5.698138342676756273e-04
7.676492825557032496e-02,6.429522315489470674e-02
5.178720245564310577e-03,1.776518530104701996e-02
1.000687087877312085e-03,5.823973309602698380e-04
1.026825055003012521e-01,1.110651634656093512e-01
2.486924587331907632e-01,2.482478450736752273e-01
1.098641818138820503e-01,1.269691736918968361e-01
2.666434317779838303e-01,2.588296508426350950e-01
1.720367400250626122e-02,2.969857084790397672e-02
8.142806034150765204e-02,5.821089064000536939e-02
3.328300357821462052e-01,3.750092970408070991e-01
2.198925190529930906e-02,2.455046786793573660e-02
3.794387756959446967e-01,3.656293066938082759e-01
4.840562488581683781e-02,4.523232908325230950e-02
1.911220562724720018e-01,2.150774756689171618e-01
5.257826465161257118e-04,7.021119136048287798e-04
1.294132441426218763e-02,1.431008742048715289e-02
1.412832338031823516e-02,1.538893079539218819e-02
2.478264301406785941e-01,2.601473813544301072e-01
2.672264860639560480e-01,2.610256608017736402e-01
6.228721441123052927e-01,6.135198180076598673e-01
9.776918676627070759e-02,9.213584758932244489e-02
3.860978581114072488e-04,2.023329818964581298e-04
1.047785680843728306e-01,7.874798024445202327e-02
